0,0,0,0,0
1,0,0,0,0.25
2,0,0,0.25,0
4,0,0.25,0,0
5,0,0.25,0,0.25
0,0,0,0,0
1,0,0,0,0.25
0,0,0,0,0
1,0,0,0,0.25
4,0,0.25,0,0
5,0,0.25,0,0.25
7,0,0.25,0.25,0.25
8,0.25,0,0,0
9,0.25,0,0,0.25
10,0.25,0,0.25,0
11,0.25,0,0.25,0.25
12,0.25,0.25,0,0
13,0.25,0.25,0,0.25
14,0.25,0.25,0.25,0
0,0,0,0.25,0
0,0,0.3
1,0,0.4
2,0,0.5
3,0.1,0.3
4,0.1,0.4
5,0.1,0.5
6,0.2,0.3
7,0.2,0.4
8,0.2,0.5
0,0,0
2,0,0.2
0,0,0,0,0
1,0,0,0,0.25
4,0,0.25,0,0
0,0,0,0,0
1,0,0,0,0.25
0,0,0,0,0
1,0,0,0,0.25
4,0,0.25,0,0
8,0.25,0,0,0
0,0,0,0,0
4,0,0.25,0,0
6,0,0.25,0.25,0
0,0,0,0,0
0,0,0,0,0
9,0.25,0,0,0.25
10,0.25,0,0.25,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0.25
4,0,0.25,0,0
6,0,0.25,0.25,0
8,0.25,0,0,0
0,0,0,0,0
6,0,0.25,0.25,0
9,0.25,0,0,0.25
12,0.25,0.25,0,0
0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0.25
2,0,0,0,0,0,0,0,0,0.25,0
4,0,0,0,0,0,0,0,0.25,0,0
3,0,0,0,0,0,0,0,0,0.25,0.25
5,0,0,0,0,0,0,0,0.25,0,0.25
6,0,0,0,0,0,0,0,0.25,0.25,0
7,0,0,0,0,0,0,0,0.25,0.25,0.25
10,0,0,0,0,0,0,0.25,0,0.25,0
11,0,0,0,0,0,0,0.25,0,0.25,0.25
14,0,0,0,0,0,0,0.25,0.25,0.25,0
16,0,0,0,0,0,0.25,0,0,0,0
18,0,0,0,0,0,0.25,0,0,0.25,0
17,0,0,0,0,0,0.25,0,0,0,0.25
19,0,0,0,0,0,0.25,0,0,0.25,0.25
22,0,0,0,0,0,0.25,0,0.25,0.25,0
23,0,0,0,0,0,0.25,0,0.25,0.25,0.25
26,0,0,0,0,0,0.25,0.25,0,0.25,0
30,0,0,0,0,0,0.25,0.25,0.25,0.25,0
32,0,0,0,0,0.25,0,0,0,0,0
34,0,0,0,0,0.25,0,0,0,0.25,0
35,0,0,0,0,0.25,0,0,0,0.25,0.25
36,0,0,0,0,0.25,0,0,0.25,0,0
37,0,0,0,0,0.25,0,0,0.25,0,0.25
38,0,0,0,0,0.25,0,0,0.25,0.25,0
39,0,0,0,0,0.25,0,0,0.25,0.25,0.25
42,0,0,0,0,0.25,0,0.25,0,0.25,0
43,0,0,0,0,0.25,0,0.25,0,0.25,0.25
44,0,0,0,0,0.25,0,0.25,0.25,0,0
45,0,0,0,0,0.25,0,0.25,0.25,0,0.25
50,0,0,0,0,0.25,0.25,0,0,0.25,0
51,0,0,0,0,0.25,0.25,0,0,0.25,0.25
54,0,0,0,0,0.25,0.25,0,0.25,0.25,0
55,0,0,0,0,0.25,0.25,0,0.25,0.25,0.25
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0.25
2,0,0,0,0,0,0,0,0,0.25,0
4,0,0,0,0,0,0,0,0.25,0,0
3,0,0,0,0,0,0,0,0,0.25,0.25
5,0,0,0,0,0,0,0,0.25,0,0.25
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0.02,0,0,0,0,0,0,0
2,0,0,0.04,0,0,0,0,0,0,0
6,0,0.02,0,0,0,0,0,0,0,0
7,0,0.02,0.02,0,0,0,0,0,0,0
8,0,0.02,0.04,0,0,0,0,0,0,0
9,0,0.02,0.06,0,0,0,0,0,0,0
12,0,0.04,0,0,0,0,0,0,0,0
13,0,0.04,0.02,0,0,0,0,0,0,0
14,0,0.04,0.04,0,0,0,0,0,0,0
15,0,0.04,0.06,0,0,0,0,0,0,0
16,0,0.04,0.08,0,0,0,0,0,0,0
17,0,0.04,0.1,0,0,0,0,0,0,0
18,0,0.06,0,0,0,0,0,0,0,0
19,0,0.06,0.02,0,0,0,0,0,0,0
20,0,0.06,0.04,0,0,0,0,0,0,0
21,0,0.06,0.06,0,0,0,0,0,0,0
