TaskNumber,models/jawmodel/models/tongue/exciters/GGP:excitation,models/jawmodel/models/tongue/exciters/GGM:excitation,models/jawmodel/models/tongue/exciters/GGA:excitation,models/jawmodel/models/tongue/exciters/STY:excitation,models/jawmodel/models/tongue/exciters/MH:excitation,models/jawmodel/models/tongue/exciters/HG:excitation,models/jawmodel/models/tongue/exciters/TRANS:excitation,models/jawmodel/models/tongue/exciters/VERT:excitation,models/jawmodel/models/tongue/exciters/SL:excitation,models/jawmodel/models/tongue/exciters/IL:excitation
69,0,0,0,0.25,0,0,0,0.25,0,0.25
70,0,0,0,0.25,0,0,0,0.25,0.25,0
71,0,0,0,0.25,0,0,0,0.25,0.25,0.25
72,0,0,0,0.25,0,0,0.25,0,0,0
73,0,0,0,0.25,0,0,0.25,0,0,0.25
74,0,0,0,0.25,0,0,0.25,0,0.25,0
75,0,0,0,0.25,0,0,0.25,0,0.25,0.25
76,0,0,0,0.25,0,0,0.25,0.25,0,0
77,0,0,0,0.25,0,0,0.25,0.25,0,0.25
78,0,0,0,0.25,0,0,0.25,0.25,0.25,0
79,0,0,0,0.25,0,0,0.25,0.25,0.25,0.25
80,0,0,0,0.25,0,0.25,0,0,0,0
81,0,0,0,0.25,0,0.25,0,0,0,0.25
82,0,0,0,0.25,0,0.25,0,0,0.25,0
83,0,0,0,0.25,0,0.25,0,0,0.25,0.25
84,0,0,0,0.25,0,0.25,0,0.25,0,0
85,0,0,0,0.25,0,0.25,0,0.25,0,0.25
86,0,0,0,0.25,0,0.25,0,0.25,0.25,0
87,0,0,0,0.25,0,0.25,0,0.25,0.25,0.25
88,0,0,0,0.25,0,0.25,0.25,0,0,0
89,0,0,0,0.25,0,0.25,0.25,0,0,0.25
90,0,0,0,0.25,0,0.25,0.25,0,0.25,0
91,0,0,0,0.25,0,0.25,0.25,0,0.25,0.25
