# Description of *SuperiorConstrictor2_L* muscle bundle. Created on 2015.05.28_16:51:15 PDT. 

points
87, 0.128211, -0.024984, 0.097704, type=FemMarker, attach=pharynx
88, 0.126208, -0.025978, 0.098094, type=FemMarker, attach=pharynx
89, 0.124364, -0.026538, 0.098348, type=FemMarker, attach=pharynx
90, 0.122543, -0.026907, 0.098622, type=FemMarker, attach=pharynx
91, 0.120762, -0.026843, 0.098663, type=FemMarker, attach=pharynx
92, 0.119357, -0.026742, 0.098648, type=FemMarker, attach=pharynx
93, 0.117727, -0.026589, 0.098503, type=FemMarker, attach=pharynx
94, 0.115922, -0.026007, 0.098575, type=FemMarker, attach=pharynx
95, 0.114396, -0.025334, 0.098255, type=FemMarker, attach=pharynx
96, 0.112665, -0.024679, 0.098570, type=FemMarker, attach=pharynx

connections
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21
22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41
42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59
60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78
79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96

