#---------- Sun Nov 30 23:19:07 PST 2025 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
312,true,0.01,1
313,true,0.01,1
314,true,0.01,1
315,true,0.01,1
316,true,0.01,1
317,true,0.01,1
318,true,0.01,1
319,true,0.01,1
320,true,0.01,1
321,true,0.01,1
322,true,0.01,1
323,true,0.01,1
324,true,0.01,1
325,true,0.01,1
326,true,0.01,1
327,true,0.01,1
328,true,0.01,1
329,true,0.01,1
330,true,0.01,1
331,true,0.01,1
332,true,0.01,1
333,true,0.01,1
334,true,0.01,1
335,true,0.01,1
336,true,0.01,1
337,true,0.01,1
338,true,0.01,1
339,true,0.01,1
340,true,0.01,1
341,true,0.01,1
342,true,0.01,1
343,true,0.01,1
344,true,0.01,1
345,true,0.01,1
346,true,0.01,1
347,true,0.01,1
348,true,0.01,1
349,true,0.01,1
350,true,0.01,1
351,true,0.01,1
352,true,0.01,1
353,true,0.01,1
354,true,0.01,1
355,false,0.01,1
356,true,0.01,1
357,true,0.01,1
358,true,0.01,1
359,true,0.01,1
360,true,0.01,1
361,true,0.01,1
362,true,0.01,1
363,true,0.01,1
364,true,0.01,1
365,true,0.01,1
366,true,0.01,1
367,true,0.01,1
368,true,0.01,1
369,true,0.01,1
370,false,0.01,1
371,false,0.01,1
372,true,0.01,1
373,true,0.01,1
374,true,0.01,1
375,false,0.01,1
376,true,0.01,1
377,true,0.01,1
378,true,0.01,1
379,true,0.01,1
380,true,0.01,1
381,true,0.01,1
382,true,0.01,1
383,true,0.01,1
384,true,0.01,1
385,true,0.01,1
386,true,0.01,1
387,true,0.01,1
388,true,0.01,1
389,true,0.01,1
390,true,0.01,1
391,true,0.01,1
392,true,0.01,1
393,true,0.01,1
394,true,0.01,1
395,true,0.01,1
396,true,0.01,1
397,true,0.01,1
398,true,0.01,1
399,true,0.01,1
400,true,0.01,1
401,true,0.01,1
402,true,0.01,1
403,true,0.01,1
404,true,0.01,1
405,true,0.01,1
406,true,0.01,1
407,true,0.01,1
408,true,0.01,1
409,true,0.01,1
410,true,0.01,1
411,true,0.01,1
412,true,0.01,1
413,true,0.01,1
414,true,0.01,1
415,true,0.01,1
416,true,0.01,1
417,true,0.01,1
418,true,0.01,1
419,true,0.01,1
420,true,0.01,1
421,true,0.01,1
422,true,0.01,1
423,true,0.01,1
424,true,0.01,1
425,true,0.01,1
426,true,0.01,1
427,true,0.01,1
428,true,0.01,1
429,true,0.01,1
430,true,0.01,1
431,true,0.01,1
432,true,0.01,1
433,true,0.01,1
434,true,0.01,1
435,true,0.01,1
436,true,0.01,1
437,true,0.01,1
438,true,0.01,1
439,true,0.01,1
440,true,0.01,1
441,true,0.01,1
442,true,0.01,1
443,true,0.01,1
444,true,0.01,1
445,true,0.01,1
446,true,0.01,1
447,true,0.01,1
448,true,0.01,1
449,true,0.01,1
450,true,0.01,1
451,true,0.01,1
452,true,0.01,1
453,true,0.01,1
454,true,0.01,1
455,true,0.01,1
456,true,0.01,1
457,true,0.01,1
458,true,0.01,1
459,true,0.01,1
460,true,0.01,1
461,true,0.01,1
462,true,0.01,1
463,true,0.01,1
464,true,0.01,1
465,true,0.01,1
466,true,0.01,1
467,true,0.01,1
468,true,0.01,1
469,true,0.01,1
470,true,0.01,1
471,true,0.01,1
472,true,0.01,1
473,true,0.01,1
474,true,0.01,1
475,true,0.01,1
476,true,0.01,1
477,true,0.01,1
478,true,0.01,1
479,true,0.01,1
480,true,0.01,1
481,true,0.01,1
482,true,0.01,1
483,true,0.01,1
484,true,0.01,1
485,true,0.01,1
486,true,0.01,1
487,true,0.01,1
488,true,0.01,1
489,true,0.01,1
490,true,0.01,1
491,true,0.01,1
492,true,0.01,1
493,true,0.01,1
494,true,0.01,1
495,true,0.01,1
496,true,0.01,1
497,true,0.01,1
498,false,0.01,1
499,false,0.01,1
500,true,0.01,1
501,true,0.01,1
502,true,0.01,1
503,true,0.01,1
504,true,0.01,1
505,true,0.01,1
506,true,0.01,1
507,true,0.01,1
