x,y,z
0.13407181837984675,-4.973885414188645E-5,0.03622162006446394
0.1349963962620925,9.283258693632441E-5,0.03872393352074135
0.135830366311994,-5.552645843308145E-5,0.04135261843134555
0.13670796787763925,-6.449310665370129E-5,0.043956054594776445
0.13755124970671914,-4.962376696495245E-5,0.04654959642119432
0.13846833454697355,-2.683979998687012E-5,0.04882388888897537
0.13925941822342047,-3.726098407989038E-5,0.051524449773709784
0.13996996158449335,-7.04603936199191E-5,0.054082656580583435
0.1406224149201492,-2.4944100340250113E-5,0.05668145376807762
0.14123440847231564,-2.0531915142122103E-5,0.059332026299227035
0.1416933412990639,-1.8589632693491942E-5,0.06207073379249236
0.14196841122594633,-1.6967502731446908E-5,0.06489579201188672
0.14202870712670312,-1.6297104375688143E-5,0.06778715401895727
0.14182844183904192,-2.3133759929693378E-5,0.07066859136579953
0.14128143757300549,-2.24528173028578E-5,0.07309812874998235
0.14047693484748583,-3.260318125872598E-5,0.0754045059613138
0.1394054914870717,-4.083664136696086E-5,0.07787314552019961
0.13824217346289636,-2.992937367844499E-5,0.08040482280791426
0.13744624093133456,-1.4728567877120318E-5,0.08264916810051773
0.1372690928576573,1.4034450496664635E-6,0.08470756307156233
0.13695307817489483,6.64021384153646E-6,0.08637355493638292
0.13624561322273734,2.2702109932528976E-6,0.08906571236241216
0.13419844132584943,3.255970283896882E-5,0.09707125843362985
0.13564982215001242,5.232266810558705E-5,0.09387529181518989
0.13666372910193708,2.319693554550061E-5,0.09351950606047749
0.13516850273872175,2.2758925225506833E-5,0.09790941216102271
0.13371774329842262,1.5477058858907253E-6,0.10188249968876348
0.1322701867927353,-1.2118687833781053E-5,0.1051772234521136
0.13054929912296967,-1.3181080596571654E-5,0.10803106838062375
0.1285695005200114,-1.7585676386830034E-5,0.11020835087375347
0.12726944598173057,-2.2584858285631612E-5,0.11149566075716161
0.12760183706585593,-2.2725387367766495E-5,0.11177359309600976
0.12448836152030729,-2.3307538137594814E-5,0.11347054595676172
0.1208979738185331,-1.5915232771301338E-5,0.11509394350767206
0.1179070524030903,-1.4578695914587223E-5,0.1161621730211322
0.1157927835321263,-1.3963429472211458E-5,0.1171100755778526
0.11351838512264864,-1.158697810156031E-5,0.118004494520212
0.11127228349801493,-1.166760554403845E-5,0.11898711173961302
0.1091797582003533,-1.0050145922673901E-5,0.11987349926120147
0.10582842375473313,1.6086131405503864E-5,0.12007400569622524
0.10207814529505115,7.134993823650884E-5,0.12016577572370624
0.09877970948143551,1.0430173506213455E-4,0.12022094438995631
0.09600709126227935,1.1249277006634479E-4,0.1203632568760774
0.09374478908741501,1.2241158172881443E-4,0.12055418589674093
0.09214466344578359,1.3827315391594662E-4,0.1209041589538329
0.08893639565994743,1.307922468990137E-4,0.12042436997325469
0.08444371955266702,-8.020232546404062E-5,0.11878235195400445
0.0814091098063385,-8.35833131906621E-5,0.11774397484006935
0.07930229388308263,-1.0544370672757158E-4,0.11697748517222109
0.07777270729954205,-1.4730958574091037E-4,0.11635093261549158
0.07696469796404387,-1.628833495328593E-4,0.11603925584852649
0.07686028263399115,-1.6709619238334205E-4,0.11596384878980952
0.0752610767486072,1.726885748539505E-4,0.11471410846480802
0.07401337774736476,1.5765980862955732E-4,0.11350520177360943
0.0716389920353354,5.6414641548115677E-5,0.11163028350083141
0.06633483513295468,1.3844806696537523E-5,0.10735176412868713
0.057903242239566985,-8.889129639484856E-6,0.10113370915802075
0.05244292763295584,-8.805574554494958E-7,0.0982508784797585
0.049387941102649976,6.540541326737621E-6,0.0952234806049144
0.04622807974649204,1.9899531068879215E-5,0.0912597517871532
0.04404874658605095,1.965969896940394E-5,0.09022806640700758
