x,y,z
0.1340187209632709,-1.7010571402637054E-5,0.03575458872162836
0.13509151640570594,8.850525993439854E-5,0.038241608961991656
0.13591756747683467,-1.8087296333468697E-5,0.04086736905840388
0.1367755958716744,-1.6691740886029884E-5,0.043468776179453446
0.13761276101016975,-9.011646352308024E-6,0.04606557184173438
0.13850677631825214,1.3324747125446933E-5,0.04838844818388501
0.1392947915233122,1.2278989477091848E-5,0.05108936348369393
0.14006504776428055,1.0536966784254546E-5,0.05370194747634673
0.14078505568690278,8.94417779849548E-6,0.05631182485016919
0.14143941779097874,7.142495796316158E-6,0.05897191187797973
0.14191815026509924,5.618073398335267E-6,0.06172080056024588
0.14219818938481257,4.21075723009759E-6,0.0645493914819995
0.14224793541428332,3.0091071465069204E-6,0.06743803262461774
0.14203506364727106,2.092457020007142E-6,0.0703111215878458
0.14152424914074307,1.653383427542218E-6,0.07272306576642262
0.1407471089836127,1.0559511668482398E-6,0.0750190722834903
0.13959054218920355,6.91994479376095E-7,0.07744409752846668
0.13806274716192557,5.252588893388043E-7,0.07984301443838622
0.13621083480449248,1.3834094106391757E-6,0.08181765056562611
0.13433115508628074,3.359682337367984E-6,0.08338119197495486
0.13251550674292825,4.740315411966799E-6,0.08493180220494218
0.13076689225559165,7.3549849463628665E-6,0.0868622766903078
0.12889131562851044,3.4986511341105577E-6,0.08967622993931912
0.12806387652094997,6.2977493689217745E-6,0.09150228572601263
0.12710584386906135,8.438105336290002E-6,0.09368900742007387
0.12594788232980636,8.61562701901457E-6,0.09638525628424335
0.1247825819681457,9.654799766194859E-6,0.09906100120713471
0.12346545216109342,9.69199701205244E-6,0.10155652205096474
0.12190792930201877,8.695114080884486E-6,0.10382732559895025
0.1200956105196021,7.746604955042193E-6,0.10589614670747416
0.11809666837239183,7.489256204144064E-6,0.10767560509333093
0.11596117445391403,7.327554887758171E-6,0.10909774337167279
0.11365687597749885,2.5449630419596767E-6,0.11078514462204357
0.11119340816880824,3.4727067630351644E-6,0.1123888450543745
0.10865669575161566,2.8980362511330074E-6,0.11366439835865137
0.10602105639450599,2.9048768233886605E-6,0.11441046518038625
0.10335081125560656,3.2698891265761014E-6,0.11498538236111594
0.10065319848899212,3.4829110149695356E-6,0.11535097316133885
0.0979363178595281,3.859974640964877E-6,0.11554590470458478
0.09522217739900393,5.932506966760073E-6,0.11576575566193281
0.09250589991738033,5.636508184223162E-6,0.11590240484784714
0.08979373768438097,5.521403512321677E-6,0.11584520833053842
0.08709446471484229,6.856055456063044E-6,0.11559520983642227
0.08440369186644078,6.8349379449698705E-6,0.11511530466914872
0.08173786187689584,7.591403370923024E-6,0.1143504143818019
0.07910979324367749,7.712735691935306E-6,0.11376922522873528
0.07653707913953592,8.468231495297054E-6,0.11332180901092936
0.07399131920515561,1.2990710674960438E-5,0.11250002576806495
0.07150845185725375,1.6179197081115806E-5,0.11134767900605798
0.06908087676959569,2.3130203112416233E-5,0.10997516500566086
0.06672074539076515,2.583640351527888E-5,0.10834459032340296
0.06444617478456828,2.794689117309762E-5,0.10645053099594358
0.06232451417691952,-8.007006993981427E-6,0.1046349149141461
0.06030671868998579,-5.201301535544975E-6,0.10263482353161305
0.05828329901591056,6.59955380053658E-6,0.10081342691823074
0.05613792946807683,1.4467046290256974E-5,0.09926823304682468
0.0539010231758929,4.771196473888166E-6,0.09852283362518721
0.05156753970091365,3.821886464430836E-6,0.09802608079109057
0.0489450952218884,1.1231018873049843E-5,0.09592187237881979
0.04617730667539342,2.4151428226560995E-5,0.09341726852795838
0.043669284638987484,2.4485935181560612E-5,0.09253930673613588
