#---------- Mon Aug 17 12:36:18 PDT 2026 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
2,false,0.005,1
4,true,0.005,1
6,false,0.005,1
9,false,0.005,1
11,false,0.005,1
12,false,0.005,1
15,false,0.005,1
#---------- Mon Aug 17 15:08:48 PDT 2026 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
1,true,0.005,1
3,false,0.005,1
5,false,0.005,1
#---------- Mon Aug 17 15:56:56 PDT 2026 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
1,true,0.005,1
3,false,0.005,1
5,false,0.005,1
6,false,0.005,1
9,false,0.005,1
10,false,0.005,1
13,false,0.005,1
#---------- Tue Aug 18 11:20:20 PDT 2026 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
1,false,0.005,1
#---------- Tue Aug 18 13:48:40 PDT 2026 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
1,false,0.005,1
5,false,0.005,1
8,false,0.005,1
12,false,0.005,1
#---------- Tue Aug 18 16:14:42 PDT 2026 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
#---------- Tue Aug 18 16:35:12 PDT 2026 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
#---------- Tue Aug 18 20:24:54 PDT 2026 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
1,false,0.005,1
6,false,0.005,1
9,true,0.005,1
13,false,0.005,1
#---------- Wed Aug 19 10:26:18 PDT 2026 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
1,false,0.005,1
#---------- Wed Aug 19 10:58:21 PDT 2026 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
1,false,0.005,1
#---------- Wed Aug 19 11:36:09 PDT 2026 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
1,true,0.005,1
6,true,0.005,1
9,false,0.005,1
11,false,0.005,1
14,false,0.005,1
#---------- Wed Aug 19 13:18:32 PDT 2026 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
1,false,0.003,1
4,false,0.003,1
7,false,0.003,1
10,false,0.003,1
12,true,0.003,1
#---------- Wed Aug 19 19:04:47 PDT 2026 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
1,false,0.003,1
4,false,0.003,1
#---------- Wed Aug 19 23:38:07 PDT 2026 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
1,true,0.003,1
4,true,0.003,1
6,true,0.003,1
10,true,0.003,1
13,false,0.003,1
16,true,0.003,1
19,true,0.003,1
22,true,0.003,1
25,false,0.003,1
28,false,0.003,1
29,false,0.003,1
32,true,0.003,1
35,true,0.003,1
38,true,0.003,1
41,false,0.003,1
44,true,0.003,1
#---------- Thu Aug 20 07:07:38 PDT 2026 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
47,false,0.003,1
48,false,0.003,1
51,true,0.003,1
53,false,0.003,1
54,true,0.003,1
56,false,0.003,1
58,false,0.003,1
#---------- Thu Aug 20 15:58:45 PDT 2026 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
1,true,0.003,1
4,true,0.003,1
#---------- Wed Aug 26 16:21:56 PDT 2026 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
1,true,0.003,1
3,false,0.003,1
6,true,0.003,1
9,true,0.003,1
12,true,0.003,1
15,true,0.003,1
18,true,0.003,1
21,true,0.003,1
24,false,0.003,1
27,true,0.003,1
30,false,0.003,1
#---------- Mon Aug 31 14:14:00 PDT 2026 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
1,true,0.003,1
5,true,0.003,1
9,true,0.003,1
12,true,0.003,1
